p-value,FVC,FEV1,FEV1/FVC,FEF25-75%,ERV,RV (Pleth),TLC (Pleth)
TSLVi,3.9717e-01,4.9513e-01,2.8386e-02,2.1801e-01,7.6347e-04,2.7434e-01,3.8616e-03
TSLVe,7.3197e-01,2.7041e-01,3.2259e-02,1.5479e-01,5.5252e-03,1.3974e-01,1.6940e-03
EV,6.9027e-01,5.7339e-01,1.8353e-01,5.3093e-01,9.0879e-02,9.5036e-01,2.4025e-01
AT at 5 HU,7.7982e-01,1.3542e-01,7.0031e-02,1.9003e-01,5.8549e-02,4.3857e-02,2.0420e-03
AT at 25 HU,5.9773e-01,4.1438e-01,4.7666e-02,2.9448e-01,2.4664e-03,9.5405e-02,9.2671e-05
AT at 50 HU,2.2756e-01,8.7183e-01,7.8065e-02,4.8971e-01,2.3868e-04,2.6668e-01,1.6744e-03
AT at 75 HU,1.1760e-01,8.6073e-01,1.0578e-01,5.9349e-01,2.6112e-04,4.1492e-01,6.5530e-03
AT at 100 HU,8.5027e-02,7.3109e-01,1.3336e-01,6.7174e-01,3.9761e-04,4.9623e-01,1.2143e-02
AT at 125 HU,7.3574e-02,6.6736e-01,1.5533e-01,7.2840e-01,5.0027e-04,5.3402e-01,1.6092e-02
AT at 150 HU,6.8553e-02,6.3094e-01,1.7222e-01,7.6957e-01,5.6738e-04,5.5396e-01,1.8735e-02
AT at 175 HU,6.5772e-02,6.0731e-01,1.8500e-01,7.9960e-01,6.1548e-04,5.6647e-01,2.0578e-02
AT at 200 HU,6.4156e-02,5.9146e-01,1.9460e-01,8.2138e-01,6.5202e-04,5.7467e-01,2.1893e-02
AT at 225 HU,6.3070e-02,5.8060e-01,2.0142e-01,8.3654e-01,6.7555e-04,5.8040e-01,2.2822e-02
AT at 250 HU,6.2368e-02,5.7313e-01,2.0635e-01,8.4733e-01,6.9221e-04,5.8423e-01,2.3467e-02
AT at 275 HU,6.1934e-02,5.6799e-01,2.0997e-01,8.5511e-01,7.0456e-04,5.8676e-01,2.3918e-02
AT at 300 HU,6.1667e-02,5.6452e-01,2.1253e-01,8.6056e-01,7.1483e-04,5.8838e-01,2.4225e-02
EV + AT at 5 HU,8.2394e-01,3.6144e-01,9.7538e-02,3.6148e-01,2.8534e-02,4.1179e-01,3.5269e-02
EV + AT at 25 HU,5.6059e-01,3.7868e-01,2.7186e-02,2.7527e-01,5.7726e-04,1.6618e-01,2.2441e-04
EV + AT at 50 HU,2.3427e-01,7.2275e-01,3.2850e-02,4.0136e-01,2.0321e-05,3.2899e-01,1.6754e-03
EV + AT at 75 HU,1.2561e-01,9.4081e-01,3.8730e-02,4.6881e-01,3.1812e-05,4.7319e-01,6.0658e-03
EV + AT at 100 HU,9.1949e-02,9.4866e-01,4.6967e-02,5.2314e-01,8.0905e-05,5.5100e-01,1.1201e-02
EV + AT at 125 HU,8.0176e-02,8.9363e-01,5.4572e-02,5.6435e-01,1.3650e-04,5.8748e-01,1.5029e-02
EV + AT at 150 HU,7.5060e-02,8.6231e-01,6.0744e-02,5.9483e-01,1.8270e-04,6.0696e-01,1.7670e-02
EV + AT at 175 HU,7.2237e-02,8.4192e-01,6.5539e-02,6.1729e-01,2.1863e-04,6.1916e-01,1.9517e-02
EV + AT at 200 HU,7.0576e-02,8.2820e-01,6.9192e-02,6.3367e-01,2.4612e-04,6.2712e-01,2.0826e-02
EV + AT at 225 HU,6.9461e-02,8.1876e-01,7.1802e-02,6.4511e-01,2.6515e-04,6.3266e-01,2.1747e-02
EV + AT at 250 HU,6.8741e-02,8.1226e-01,7.3707e-02,6.5327e-01,2.7884e-04,6.3636e-01,2.2388e-02
EV + AT at 275 HU,6.8291e-02,8.0779e-01,7.5110e-02,6.5917e-01,2.8880e-04,6.3881e-01,2.2834e-02
EV + AT at 300 HU,6.8007e-02,8.0474e-01,7.6119e-02,6.6333e-01,2.9620e-04,6.4038e-01,2.3133e-02
Calculated FVC,1.1660e-01,4.3630e-02,4.4180e-01,2.2951e-01,8.6905e-01,6.3570e-02,2.1220e-01
